FECHA;PRECIO DÓLAR;KO;VALOR INV;VALOR COP;GAN/PER
16/04/2025; $ 4.351,00 ; $ 71,68 ; $ 7,81 ; $ 33.963,70 ; $ 0,87 
17/04/2025; $ 4.279,17 ; $ 73,00 ; $ 7,95 ; $ 34.018,12 ; $ 1,01 
21/04/2025; $ 4.279,17 ; $ 72,77 ; $ 7,92 ; $ 33.910,94 ; $ 0,98 
22/04/2025; $ 4.279,17 ; $ 73,90 ; $ 8,05 ; $ 34.437,52 ; $ 1,11 
23/04/2025; $ 4.295,25 ; $ 73,28 ; $ 7,98 ; $ 34.276,92 ; $ 1,04 
24/04/2025; $ 4.311,02 ; $ 72,52 ; $ 7,90 ; $ 34.045,97 ; $ 0,96 
25/04/2025; $ 4.266,33 ; $ 71,91 ; $ 7,83 ; $ 33.409,63 ; $ 0,89 
28/04/2025; $ 4.217,56 ; $ 71,79 ; $ 7,82 ; $ 32.972,59 ; $ 0,88 
29/04/2025; $ 4.216,06 ; $ 72,35 ; $ 7,88 ; $ 33.217,98 ; $ 0,94 
30/04/2025; $ 4.193,62 ; $ 72,55 ; $ 7,90 ; $ 33.132,51 ; $ 0,96 
1/05/2025; $ 4.255,00 ; $ 71,29 ; $ 7,76 ; $ 33.033,61 ; $ 0,82 
2/05/2025; $ 4.255,00 ; $ 71,65 ; $ 7,80 ; $ 33.200,42 ; $ 0,86 
5/05/2025; $ 4.248,28 ; $ 71,70 ; $ 7,81 ; $ 33.171,12 ; $ 0,87 
6/05/2025; $ 4.296,67 ; $ 71,72 ; $ 7,81 ; $ 33.558,32 ; $ 0,87 
7/05/2025; $ 4.306,46 ; $ 72,40 ; $ 7,88 ; $ 33.953,68 ; $ 0,94 
8/05/2025; $ 4.282,54 ; $ 71,17 ; $ 7,75 ; $ 33.191,45 ; $ 0,81 
9/05/2025; $ 4.212,78 ; $ 70,52 ; $ 7,68 ; $ 32.352,58 ; $ 0,74 
12/05/2025; $ 4.212,78 ; $ 69,53 ; $ 7,57 ; $ 31.898,40 ; $ 0,63 
13/05/2025; $ 4.225,76 ; $ 68,69 ; $ 7,48 ; $ 31.610,13 ; $ 0,54 
